description,w0,wa,Omega_m0,H0_km_s_Mpc
Tracker (Copeland-Liddle-Wands attractor),-0.9997918341685373,0.0,0.315,67.4
"Rest (field at minimum, previous assumption)",-1.0,0.0,0.315,67.4
