p,ap,weil_2p_ok,weight2_2sqrtp_ok
5,-2,True,True
7,-3,True,True
11,0,True,True
13,-4,True,True
17,-1,True,True
19,-6,True,True
23,10,True,False
29,-5,True,True
31,5,True,True
37,-14,True,False
41,7,True,True
43,-9,True,True
47,-11,True,True
53,23,True,False
59,19,True,False
61,1,True,True
67,13,True,True
71,-18,True,False
73,8,True,True
79,24,True,False
83,13,True,True
89,2,True,True
97,7,True,True
101,-50,True,False
103,41,True,False
107,31,True,False
109,-32,True,False
113,-38,True,False
127,-11,True,True
131,-59,True,False
137,-18,True,True
139,-11,True,True
149,4,True,True
151,7,True,True
157,2,True,True
163,61,True,False
167,-70,True,False
173,-58,True,False
179,-41,True,False
181,-65,True,False
191,5,True,True
193,-13,True,True
197,-96,True,False
199,-88,True,False
