p,ap,weil_2p_ok,weight2_2sqrtp_ok
5,-2,True,True
7,0,True,True
11,-2,True,True
13,-4,True,True
17,-7,True,True
19,3,True,True
23,0,True,True
29,8,True,True
31,-14,True,False
37,1,True,True
41,3,True,True
43,1,True,True
47,16,True,False
53,14,True,True
59,-24,True,False
61,4,True,True
67,-21,True,False
71,-9,True,True
73,34,True,False
79,-8,True,True
83,-8,True,True
89,6,True,True
97,-43,True,False
101,45,True,False
103,34,True,False
107,-21,True,False
109,9,True,True
113,-32,True,False
127,-28,True,False
131,55,True,False
137,-59,True,False
139,-28,True,False
149,39,True,False
151,-56,True,False
157,-6,True,True
163,70,True,False
167,-35,True,False
173,57,True,False
179,43,True,False
181,82,True,False
191,-65,True,False
193,-5,True,True
197,28,True,True
199,76,True,False
