p,ap,weil_2p_ok,weight2_2sqrtp_ok
5,1,True,True
7,1,True,True
11,2,True,True
13,-1,True,True
17,-1,True,True
19,3,True,True
23,3,True,True
29,6,True,True
31,14,True,False
37,-14,True,False
41,6,True,True
43,14,True,False
47,-21,True,False
53,5,True,True
59,23,True,False
61,-3,True,True
67,22,True,False
71,12,True,True
73,-11,True,True
79,-33,True,False
83,-19,True,False
89,-44,True,False
97,-6,True,True
101,21,True,False
103,-31,True,False
107,-5,True,True
109,32,True,False
113,-9,True,True
127,-7,True,True
131,-38,True,False
137,60,True,False
139,-60,True,False
149,21,True,True
151,66,True,False
157,-7,True,True
163,77,True,False
167,-14,True,True
173,44,True,False
179,-60,True,False
181,53,True,False
191,-28,True,False
193,-22,True,True
197,-59,True,False
199,-59,True,False
