objid,ra,dec,redshift,radius,magnitude,baryonic_density_proxy,Delta,KK_Mass_eV
1237645879551066262,348.902530171573,1.27188624932946,0.03212454,3.930973,17.48643,6.552814565474817,0.5233217439153592,1.876550799359659e-21
1237645879577477252,49.2489417995925,1.27243115303389,0.1106111,3.434432,17.44124,8.949404871371174,0.7147185560486273,1.8938701949531873e-21
1237645879577936138,50.2348350060831,1.27194527496731,0.07429758,5.79847,17.37457,3.338452265330486,0.26661591656749983,1.8535700399724913e-21
1237645879578460255,51.4436950026148,1.27007271795861,0.1213151,7.750698,16.7916,3.1965269436121604,0.25528145774446115,1.8525618720081808e-21
1237645879578460271,51.4835835170322,1.27201267342336,0.04876465,4.510835,16.5624,11.655371401507175,0.9308228131396801,1.913617561398007e-21
1237645879578460507,51.4756671357035,1.2704058303334,0.0488077,5.268336,19.20132,0.751839379818054,0.060043496036594556,1.835281828382357e-21
1237645879579967591,54.9285003138559,1.27188765009276,0.1317873,4.92834,17.12888,5.794909751491509,0.46279384937286333,1.871106695565907e-21
1237645941824356443,40.2856904119424,-0.71495662825756,0.04028672,11.86357,14.95513,7.404866032569009,0.5913683909263545,1.8826900835990816e-21
1237645942904389827,54.5507319566264,0.220213661483242,0.04265009,3.723274,19.90734,0.7856226659348504,0.06274150130275644,1.8355195205749173e-21
1237645942905438473,57.025336578067,0.20884499634774,0.0254747,9.476921,15.05553,10.579215876513693,0.8448787382026336,1.905739545848017e-21
1237645942905438495,57.0470524254038,0.0843042629762005,0.03616738,8.674915,17.13694,1.8564939735694532,0.14826356737386528,1.8430699236398645e-21
1237645942905438496,57.047798955065,0.0854314279699143,0.0359273,0.843807,22.28172,1.7172192659148642,0.13714079224192163,1.8420861837582226e-21
1237645942905634975,57.4526719197642,0.0443438623667923,0.135144,2.655177,17.3946,15.630506276378988,1.248285560518057,1.943000978034348e-21
1237645942905634991,57.4584469049334,0.0522754723131939,0.1297809,8.162415,17.18597,2.0043550587323615,0.16007206892255266,1.844114886672917e-21
1237645942905635004,57.490402123062,0.0743531086380666,0.1315637,4.956252,16.30132,12.279063355555973,0.9806321825026516,1.9181982070626415e-21
1237645942905635005,57.4884302017122,0.0755838160432975,0.1333835,7.930052,18.821,0.47102930738481813,0.03761740487432906,1.8333072978326694e-21
1237645942905635068,57.4752352677671,0.0583019037518934,0.1355777,3.661109,17.97916,4.79855726413968,0.3832230151877236,1.8639738208983447e-21
1237645942905635071,57.4800845774629,0.105864522543259,0.1320954,5.735305,17.41725,3.280854444366851,0.2620160317681915,1.8531608271348563e-21
1237645942905635146,57.4664018459354,0.0594492045984149,0.1299547,1.060039,22.08946,1.2988898184824287,0.10373211055650791,1.8391345508291007e-21
1237645942905700478,57.5089002899894,0.0665637241165031,0.1314003,4.195208,16.92305,9.666583431007618,0.771993965077458,1.8990840237725773e-21
1237645942905700479,57.5096417265807,0.0671614984359531,0.1306191,4.52233,17.57277,4.57264514403441,0.3651811915585303,1.862360304285505e-21
1237645942905700561,57.50744550499,0.0275951673198642,0.1318834,4.939012,17.4136,4.438945749340442,0.3545036728079893,1.861406050264633e-21
1237645942905700564,57.5085161588464,0.0345378237186341,0.1353511,2.920067,18.19786,6.166949149194469,0.4925057089815482,1.8737771142014396e-21
1237645942905700587,57.6052689899755,0.0513293192029054,0.1318457,2.456573,18.3782,7.380072895457123,0.5893883581296253,1.8825111582725318e-21
1237645942905700593,57.6070986681323,0.177155588859477,0.132174,2.461403,18.57295,6.14404727693299,0.49067671662855994,1.8736126194695483e-21
1237645942905700594,57.6139520196035,0.0820547400548133,0.1351828,2.490726,18.804,4.850070946532401,0.3873370077074108,1.8643419392127036e-21
1237645942905766132,57.7660135191018,0.124099746615678,0.1249654,5.571723,17.3692,3.6336322011808906,0.2901896156634492,1.8556686111686677e-21
1237645942905766242,57.6643984335227,0.168109525048782,0.1252175,3.995657,18.90079,1.7238822586959992,0.13767291305307514,1.8421332345540284e-21
1237645942905766350,57.7228443140538,0.0637326787832327,0.132197,2.575753,19.2889,2.901560105466056,0.2317247770855703,1.850468325835056e-21
1237645942905831709,57.8998884551633,0.0907623567050048,0.1345017,5.2574,17.26585,4.488672898777275,0.3584749889963542,1.861760911220986e-21
1237645942905831780,57.8949501832176,0.0411267256016719,0.08220381,4.423974,17.88412,3.586962762587787,0.28646249478309144,1.8553366584040967e-21
1237645942905897107,58.0002029149538,0.0163853011113631,0.08295874,2.97511,17.27383,13.914318640811878,1.111227156475476,1.930260311726796e-21
1237645942905897117,58.0166517636597,0.0367886761406666,0.08232159,3.108503,16.83391,19.113200618318007,1.526420956894197,1.969114940042252e-21
1237645942905897218,58.0231803215902,0.0480566842569108,0.08173548,7.166789,16.89618,3.395304766340921,0.2711562785260829,1.853974046181977e-21
1237645942905897335,57.9679570522477,0.0340010680895592,0.0819518,4.688045,18.31666,2.144630393394082,0.17127475626094568,1.8451067873754893e-21
1237645942906028543,58.3691278160825,0.196246893897141,0.05351376,2.770678,19.38867,2.2874935986744678,0.18268411646512112,1.846117535539697e-21
1237645942906093991,58.5305168507183,0.222928823292057,0.1498954,3.191108,18.65709,3.3828363961984715,0.27016052789991574,1.8538854357003743e-21
1237645942906224685,58.737399820103,0.0264625738053956,0.06234159,6.625526,17.65118,1.9819252689944944,0.15828077808653235,1.8439563328767387e-21
1237645942906225020,58.7550868984329,0.166028958921347,0.140396,4.684143,18.19482,2.4033206057241556,0.19193430822868845,1.8469374107209384e-21
1237645943435034990,40.3237192445106,0.506582165188134,0.02843474,1.498866,21.33834,1.2975926697224163,0.10362851749059332,1.8391254058156733e-21
1237645943973609569,44.1905216913048,0.944217770105078,0.1323255,2.725715,17.73589,10.831363018543852,0.8650157466242866,1.9075824792501468e-21
1237645943973609571,44.1967624782676,0.898187550646279,0.06360599,1.92693,19.53258,4.142248253790058,0.33080877815847226,1.8592901743711463e-21
1237645943973609616,44.2888025842743,0.893509777461581,0.07254888,6.295562,17.36611,2.8542170056979006,0.22794385618730975,1.850132525537696e-21
1237645943973609618,44.2901765177702,0.966028832495359,0.07445111,2.766665,17.15307,17.98286350740365,1.4361498249728732,1.960601195194944e-21
1237645943973609651,44.1896150561732,0.95517731261892,0.1095859,2.6841,18.97375,3.5719273397394224,0.2852617338540447,1.85522972632878e-21
1237645943973675097,44.4146489659888,0.990363786521587,0.07472415,3.703592,17.95386,4.799651728925778,0.38331042147929384,1.8639816412206348e-21
1237645943975837722,49.2968088724208,1.04741016467355,0.06675781,9.166202,15.68966,6.306046261897311,0.5036143010019556,1.8747765018446562e-21
1237645943975837853,49.2755989687379,1.04702056745063,0.06669576,2.429605,18.56176,6.3712501183944745,0.5088216200174952,1.8752451632612258e-21
1237645943976034423,49.7298010819877,1.04613752083197,0.02389494,2.78896,18.3242,6.01776783818137,0.48059177138131676,1.8727058654840673e-21
1237645943976493208,50.8270672659644,0.939875120075682,0.03646222,4.760341,16.54225,10.66163651780171,0.8514610263633153,1.9063417590663892e-21
1237645943976493216,50.8313689895524,0.895034010363321,0.1031313,4.406857,17.29198,6.236631497431861,0.49807068989705305,1.874277702683093e-21
