object_id,right_ascension,declination,phz_median,phz_mode_1
-609879046485980986,60.987904674851215,-48.59809865080978,2.4700000286102295,3.434803009033203
-610655061485904383,61.06550612290159,-48.59043831086146,0.5899999737739563,0.6113781929016113
-609235141485897002,60.92351410258388,-48.58970027644802,0.4399999976158142,0.38190510869026184
-609860629485889944,60.98606297458025,-48.58899449083702,3.4600000381469727,3.5975725650787354
-610189028485862386,61.01890283958871,-48.58623860189653,0.7799999713897705,0.7898389101028442
-610356762485737007,61.0356762295187,-48.5737007616145,3.4000000953674316,3.94946551322937
-609847790485727022,60.9847790060767,-48.57270221295328,2.2699999809265137,2.440157413482666
-611274118485725586,61.127411816303116,-48.572558619114446,1.590000033378601,0.9609021544456482
-610880005485724259,61.088000577767055,-48.57242593794958,2.549999952316284,2.4335134029388428
-611035897485709800,61.103589705602225,-48.57098000764761,0.8399999737739563,0.803290605545044
-609606164485703095,60.96061644321965,-48.57030952498451,1.0499999523162842,0.27502912282943726
-609389220485700628,60.938922036181516,-48.570062856716504,0.9900000095367432,0.7694815397262573
-610045386485698327,61.004538679339454,-48.56983271513606,1.7699999809265137,1.732116937637329
-610181466485672626,61.01814668918139,-48.56726261105055,1.350000023841858,1.338557481765747
-610565328485544148,61.056532877137975,-48.55441482806344,1.0499999523162842,1.0406968593597412
-611291666485517159,61.12916663432598,-48.551715993878766,1.0700000524520874,1.0644450187683105
-610003763485494858,61.000376303717005,-48.54948585911992,3.3399999141693115,3.4255192279815674
-610693728485489508,61.06937286747762,-48.548950821359384,1.8700000047683716,1.8048453330993652
-610267957485471419,61.02679577083426,-48.54714196926307,1.399999976158142,1.5003211498260498
-609056587485441027,60.905658712020895,-48.54410273446462,0.75,0.7476900219917297
-609991909485429365,60.9991909767499,-48.5429365865937,3.9200000762939453,3.9759395122528076
-610709590485412935,61.07095900486115,-48.541293560009684,0.46000000834465027,0.43631938099861145
-609269289485388930,60.92692893074784,-48.53889300968649,1.9900000095367432,0.5406281352043152
-609411533485301399,60.94115338980699,-48.530139935269894,4.369999885559082,4.374321460723877
-609810836485303166,60.98108364794296,-48.530316685821084,0.3400000035762787,0.3387554883956909
-611957844485243221,61.195784459689534,-48.52432211492798,1.1699999570846558,1.1391615867614746
-611731387485191540,61.17313875714385,-48.51915408874299,0.7799999713897705,0.7671254873275757
-611757947485164761,61.175794777066166,-48.51647619322643,2.0799999237060547,1.853211522102356
-610129462485138061,61.012946296748055,-48.51380610578234,0.7699999809265137,0.4825308322906494
-609737846485129153,60.973784613020506,-48.51291532632754,1.6200000047683716,0.21029448509216309
-610331477485087119,61.03314770634588,-48.508711917972924,2.890000104904175,3.357760190963745
-610727910485088577,61.07279103884937,-48.50885779342485,2.6700000762939453,2.983046054840088
-610926075485078011,61.09260759502899,-48.507801165949495,0.44999998807907104,0.16068316996097565
-610649743485063318,61.064974385152986,-48.50633188417006,3.75,3.842327833175659
-610252968485037853,61.02529680882493,-48.5037853132455,0.5699999928474426,0.6175147294998169
-610523521485036010,61.05235215231826,-48.50360101478656,0.1599999964237213,0.16014184057712555
-612020936485027346,61.20209368212044,-48.50273461426183,4.260000228881836,4.373011112213135
-612237984485017583,61.223798470053275,-48.50175839244617,0.3400000035762787,0.16319000720977783
-612037152485006604,61.20371524118935,-48.50066048216497,0.7599999904632568,0.5053338408470154
-611842235485004701,61.18422352354684,-48.50047017065224,2.450000047683716,2.5643603801727295
-612306413485004428,61.23064137072515,-48.500442895029394,2.4000000953674316,2.4486031532287598
-612142485484994435,61.214248550210655,-48.499443589124766,1.5199999809265137,1.6941572427749634
-610457883484974870,61.045788357449034,-48.4974870673444,0.5,0.6018974781036377
-611511176484970970,61.151117637441665,-48.49709707434909,0.7200000286102295,0.7403461933135986
-610449286484959586,61.044928660533685,-48.495958667831715,0.6399999856948853,0.6735348105430603
-609915562484936959,60.991556276838985,-48.49369595120117,3.2699999809265137,4.132729530334473
-609802806484930351,60.980280654279014,-48.49303514667774,1.090000033378601,0.32074135541915894
-610880670484929221,61.08806705645356,-48.492922138478825,3.880000114440918,3.908416509628296
-609398072484891053,60.93980725069006,-48.489105336791134,1.590000033378601,1.5376160144805908
-610536090484888939,61.0536090147581,-48.48889394586661,1.8300000429153442,1.403907299041748
-609582913484885500,60.95829138905016,-48.48855001863403,1.7599999904632568,1.6949936151504517
-610274669484876328,61.02746694900308,-48.487632810240214,2.440000057220459,3.782850742340088
-610896345484805816,61.089634527687565,-48.480581675083364,2.8299999237060547,3.4841384887695312
-610719482484797142,61.0719482454166,-48.479714214484474,1.6399999856948853,1.6990718841552734
-610395060484785158,61.03950605582605,-48.47851588728984,2.0,2.2352418899536133
-610233717484776538,61.023371702850696,-48.47765383123329,4.03000020980835,4.415133953094482
-610439612484762251,61.043961204853545,-48.47622518940024,2.569999933242798,3.6831772327423096
-612526216484761578,61.252621697535524,-48.47615783437783,2.2799999713897705,2.283170223236084
-610537986484752687,61.053798637846306,-48.47526877486021,1.5,1.3986902236938477
-612338182484747618,61.23381827046839,-48.47476185460436,2.630000114440918,3.88896107673645
-611891623484730018,61.18916237526669,-48.473001850555974,2.440000057220459,3.7905540466308594
-609712917484710449,60.9712917265175,-48.471044907642174,0.8100000023841858,0.3149470090866089
-611730318484701170,61.17303189253989,-48.47011702090227,0.49000000953674316,0.5919285416603088
-610151349484687983,61.01513494366091,-48.468798343125265,1.149999976158142,1.0428248643875122
-612736666484685290,61.27366661770255,-48.46852904948454,2.359999895095825,2.748443126678467
-611411244484633864,61.14112441677308,-48.46338643581055,0.6700000166893005,0.16051600873470306
-610483429484613085,61.048342936683696,-48.4613085300904,0.8399999737739563,1.042299747467041
-609670139484618366,60.967013942102405,-48.46183665680476,0.8299999833106995,0.16201339662075043
-612865466484609668,61.28654663403744,-48.460966817882664,3.8399999141693115,3.9674644470214844
-610030911484595338,61.0030911454981,-48.45953384666918,0.5199999809265137,0.40677696466445923
-612047142484542388,61.20471425209916,-48.45423883314412,2.5399999618530273,2.9327118396759033
-609097796484512082,60.90977961763488,-48.45120827976586,0.9900000095367432,0.3228954076766968
-609861827484494607,60.98618273313591,-48.4494607812134,2.359999895095825,2.2649505138397217
-609094017484490155,60.9094017289175,-48.449015525700666,0.5600000023841858,0.6146291494369507
-610157422484490773,61.01574225713617,-48.44907731943452,0.4300000071525574,0.42378130555152893
-610075388484456097,61.00753889958752,-48.44560974959574,0.6499999761581421,0.7019115090370178
-612208366484438354,61.22083660003883,-48.44383547790422,1.3700000047683716,1.615490436553955
-610085229484428234,61.008522915604026,-48.44282345015027,0.8600000143051147,0.4757726788520813
-610236827484390858,61.023682752302875,-48.439085852510296,2.299999952316284,2.3140487670898438
-609519412484382654,60.95194126025647,-48.438265421024724,2.2200000286102295,2.275644302368164
-611807950484357639,61.18079500034005,-48.43576390476151,3.5999999046325684,3.6238160133361816
-610967159484339061,61.09671598810621,-48.433906152048436,2.390000104904175,0.38348984718322754
-611234412484321812,61.12344123858268,-48.43218125577221,2.0899999141693115,2.0548794269561768
-609875585484303025,60.98755850222181,-48.430302561120165,1.4199999570846558,1.409287691116333
