object_id,right_ascension,declination,phz_median,phz_mode_1
-531966389282459491,53.19663896148288,-28.245949156663517,2.619999885559082,2.903203010559082
-531347533282455851,53.13475334394342,-28.245585161203447,3.630000114440918,4.028598308563232
-531713528282445822,53.17135288766233,-28.24458228445134,1.409999966621399,1.1446170806884766
-532279586282400347,53.22795865514716,-28.240034717289006,0.33000001311302185,0.2346174716949463
-529814597282398810,52.98145972778179,-28.2398810535332,1.2100000381469727,1.3133137226104736
-532309702282382441,53.23097024722987,-28.23824418777464,1.1799999475479126,0.5217137336730957
-529996086282376242,52.99960865848708,-28.23762428746799,1.340000033378601,1.2649632692337036
-530843208282367139,53.084320863406,-28.236713970932822,1.1200000047683716,1.1075345277786255
-530453218282361710,53.045321897477045,-28.236171065559226,0.6399999856948853,0.7730518579483032
-530384075282323924,53.03840755974319,-28.232392496658527,3.440000057220459,4.337960243225098
-530095536282319536,53.00955360084859,-28.231953671978438,2.740000009536743,2.8349409103393555
-530955990282281063,53.095599030119374,-28.228106325893307,0.75,0.7758961915969849
-530084567282224127,53.00845675764947,-28.222412705551353,3.700000047683716,4.179553031921387
-530639157282221396,53.06391576129674,-28.2221396462029,0.25999999046325684,0.2502093017101288
-531478307282220224,53.14783072995128,-28.222022416395347,1.4500000476837158,1.3676915168762207
-530011715282191465,53.00117156305704,-28.21914653973114,0.25,0.1732621043920517
-532494162282168639,53.24941627529473,-28.21686396006734,0.6200000047683716,0.5570369958877563
-531583109282167033,53.15831094220466,-28.216703318198267,1.5800000429153442,1.409979224205017
-530390059282145535,53.03900590111161,-28.214553558583294,1.559999942779541,1.4917471408843994
-531591601282135986,53.15916013689892,-28.213598630525585,3.0,3.25247859954834
-532380600282106038,53.23806006689398,-28.21060381470095,0.6499999761581421,0.7905110716819763
-532378854282105316,53.23788544145597,-28.210531600217816,0.6600000262260437,0.7042592763900757
-532141520282085205,53.21415200442347,-28.208520576269652,1.8799999952316284,1.9807077646255493
-530435051282050548,53.04350517088337,-28.205054800108584,0.8700000047683716,0.927952229976654
-529383211281956234,52.938321122738465,-28.195623464218507,3.009999990463257,0.4856790006160736
-532025362281952884,53.20253626682427,-28.195288425458212,0.5600000023841858,0.6375166773796082
-532610003281939895,53.26100030856433,-28.193989540455078,1.8300000429153442,1.6661885976791382
-530000137281930057,53.000013727279295,-28.193005780122437,0.5600000023841858,0.5836494565010071
-532256296281923819,53.22562964701206,-28.192381962609634,3.3499999046325684,3.4104249477386475
-529777532281889593,52.97775329338172,-28.188959365986364,0.7099999785423279,0.4815812408924103
-531547372281872630,53.15473723836618,-28.187263037153468,0.75,1.5620348453521729
-529995498281859823,52.99954988676626,-28.18598231778255,1.7799999713897705,0.4797627031803131
-530433032281858041,53.04330323114641,-28.18580410179426,1.9199999570846558,2.054842472076416
-531647953281820027,53.164795338641625,-28.182002791412383,1.4900000095367432,1.3111867904663086
-531288239281818388,53.128823937253316,-28.18183880158861,0.4699999988079071,0.32363635301589966
-532058891281812872,53.20588919214653,-28.181287234816136,2.2200000286102295,2.5722014904022217
-530878967281796806,53.08789670559536,-28.179680604600033,0.8999999761581421,0.943874716758728
-532592452281788160,53.25924525475748,-28.178816083460543,0.6100000143051147,0.15979938209056854
-531215421281786803,53.121542184641655,-28.178680345435318,4.730000019073486,4.8832292556762695
-531347418281776455,53.134741833797136,-28.17764558363028,2.640000104904175,3.6139075756073
